CONTINENT,SIZE,country,gppd_idnr,name,capacity_m,commission,T1__6_year,T2__3_year,latitude,longitude
South America,Small,BRA,BRA0030091,Belmonte,3.6,2012,2006,2015,-26.8333,-53.6667
South America,Small,BRA,BRA0030092,Bandeirante,3,2012,2006,2015,-26.7994,-53.6667
South America,Small,BRA,BRA0030093,Prata,3,2011,2005,2014,-26.7625,-53.6656
South America,Small,BRA,BRA0030123,Pardos,10,2013,2007,2016,-26.4458,-50.9878
South America,Small,BRA,BRA0030148,Oliveira,2.88,2010,2004,2013,-20.7667,-44.6833
South America,Small,BRA,BRA0030151,Lambedor,1.0008,2011,2005,2014,-27.1456,-52.8392
South America,Small,BRA,BRA0030183,Passo Ferraz,4,2011,2005,2014,-26.7546,-52.3838
South America,Medium,BRA,BRA0030185,MaracanÃ£,10.5,2013,2007,2016,-14.3389,-57.6192
South America,Small,BRA,BRA0030227,Miranda EstÃ¢ncia,1.94,2009,2003,2012,-13.5542,-59.9353
South America,Small,BRA,BRA0030242,Cachoeirinha,1.25,2015,2009,2018,-22.57,-46.41
South America,Small,BRA,BRA0030243,Peixe,1,2011,2005,2014,-22.6083,-46.4417
South America,Small,BRA,BRA0030245,Espraiado,1.25,2010,2004,2013,-22.35,-46.225
South America,Small,BRA,BRA0030260,Feixos,1.3,2011,2005,2014,-22.6975,-46.8512
South America,Small,BRA,BRA0030263,Xavantina,6.075,2015,2009,2018,-27.0264,-52.3753
South America,Small,BRA,BRA0030265,Ilha da Luz,3.8,2012,2006,2015,-20.8342,-41.1225
South America,Medium,BRA,BRA0030272,Queixada,30,2012,2006,2015,-18.7342,-51.7952
South America,Small,BRA,BRA0030287,Rastro de Auto,7.02,2013,2007,2016,-29.0619,-52.2181
South America,Medium,BRA,BRA0030312,Galheiros I,12.06,2012,2006,2015,-13.3934,-46.3906
South America,Medium,BRA,BRA0030337,Serra dos Cavalinhos II,29,2013,2007,2016,-28.79,-50.7444
South America,Medium,BRA,BRA0030338,Salto GÃ³es,20,2012,2006,2015,-27.1044,-51.2861
South America,Small,BRA,BRA0030353,Salto Donner II,2.89,2012,2006,2015,-26.7567,-49.4461
South America,Small,BRA,BRA0030379,SÃ£o Jorge,8.7,2014,2008,2017,-26.7094,-53.3922
South America,Small,BRA,BRA0030382,Rondinha,9.6,2014,2008,2017,-26.6825,-52.045
South America,Medium,BRA,BRA0030385,Ferreira Gomes,252,2014,2008,2017,0.852,-51.2
South America,Small,BRA,BRA0030400,Abranjo I,4.86,2014,2008,2017,-30.7944,-52.6272
South America,Small,BRA,BRA0030404,Farias,1.35,2015,2009,2018,-19.067,-42.8092
South America,Small,BRA,BRA0030407,Morrinhos,2.25,2014,2008,2017,-30.3176,-51.8654
South America,Medium,BRA,BRA0030415,Garibaldi,191.9,2013,2007,2016,-27.6217,-50.9882
South America,Small,BRA,BRA0030426,Girassol,1,2010,2004,2013,-13.9969,-45.403
South America,Medium,BRA,BRA0030458,Cavernoso II,19.008,2013,2007,2016,-25.4933,-52.225
South America,Small,BRA,BRA0030525,RS-155,5.982,2012,2006,2015,-28.3118,-53.895
South America,Small,BRA,BRA0030526,SÃ£o SebastiÃ£o,9.9,2012,2006,2015,-27.3897,-49.0178
South America,Large,BRA,BRA0030557,Teles Pires,"1,819.80",2015,2011,2018,-9.341,-56.7774
South America,Small,BRA,BRA0030577,Dalba,1,2014,2008,2017,-25.2817,-51.877
South America,Small,BRA,BRA0030597,ZÃ© Tunin,8,2012,2006,2015,-21.315,-42.9446
South America,Small,BRA,BRA0030650,Novo Colorado,2.99999,2015,2009,2018,-13.9848,-57.067
South America,Small,BRA,BRA0030687,Alto BrejaÃºba,1.35,2015,2009,2018,-18.9011,-42.446
South America,Small,BRA,BRA0030688,Brejauba,1.35,2015,2009,2018,-18.9114,-42.44
South America,Small,BRA,BRA0030689,Pitangas,1.25,2015,2009,2018,-19.08,-42.685
South America,Small,BRA,BRA0030781,Corrente Grande,1.25,2012,2006,2015,-18.89,-42.724
South America,Small,BRA,BRA0030794,Pito,4,2015,2009,2018,-27.5801,-51.3543
